tt0146838,Any Given Sunday
tt0102138,JFK
tt0110632,Natural Born Killers
tt0159273,Behind Enemy Lines
tt0467197,Max Payne
tt1078940,Couples Retreat
tt0409459,Watchmen
tt1179056,A Nightmare on Elm Street
tt0479143,Rocky Balboa
tt1320253,The Expendables
tt0462499,Rambo
tt0233469,Collateral Damage
tt0119396,Jackie Brown
tt0371746,Iron Man
tt0409847,Cowboys & Aliens
tt1872181,The Amazing Spider-Man 2
tt1022603,500 Days of Summer
tt0054331,Spartacus
tt1430132,The Wolverine
tt1386703,Total Recall
tt0401855,Underworld: Evolution
tt0320691,Underworld
tt0380510,The Lovely Bones
tt0878804,The Blind Side
tt0114069,Outbreak
tt1602620,Amour
tt1711425,21 & Over
tt1714206,The Spectacular Now
tt0414982,Final Destination 3
tt0453562,42
tt0327056,Mystic River
tt0452623,Gone Baby Gone
tt1470827,Monsters
tt1156398,Zombieland
tt1321870,Gangster Squad
tt0103644,Alien 3
tt0107362,Last Action Hero
tt0187738,Blade II
tt0120611,Blade
tt1117385,Felon
tt0187078,Gone in Sixty Seconds
tt0386117,Where the Wild Things Are
tt1366344,The Sitter
tt0981227,Nick and Norah's Infinite Playlist
tt0366551,Harold & Kumar Get the Munchies
tt0481536,Harold & Kumar Escape from Guantanamo Bay
tt0119567,The Lost World: Jurassic Park
tt0117509,Romeo + Juliet
tt1343092,The Great Gatsby
tt0455824,Australia
tt0458525,X-Men Origins: Wolverine
tt0307901,25th Hour
tt0379725,Capote
tt0250494,Legally Blonde
tt0478087,21
tt0445922,Across the Universe
tt0120679,Frida
tt0081505,The Shining
tt0079522,Manhattan
tt0478311,Knocked Up
tt0430922,Role Models
tt0328828,American Wedding
tt0163651,American Pie
tt0252866,American Pie 2
tt1605630,American Reunion
tt1268799,A Very Harold & Kumar 3D Christmas
tt1059786,Eagle Eye
tt0486822,Disturbia
tt1778304,Paranormal Activity 3
tt0108037,The Sandlot Kids
tt0093058,Full Metal Jacket
tt0066921,A Clockwork Orange
tt0072684,Barry Lyndon
tt0049730,The Searchers
tt0080339,Airplane!
tt0120780,Out of Sight
tt0381849,3:10 to Yuma
tt0036775,Double Indemnity
tt0080678,The Elephant Man
tt0061722,The Graduate
tt0064115,Butch Cassidy and the Sundance Kid
tt0064665,Midnight Cowboy
tt1611224,Abraham Lincoln: Vampire Hunter
tt1270262,The Devil's Double
tt1527186,Melancholia
tt0168629,Dancer in the Dark
tt1212419,Hereafter
tt0286106,Signs
tt0217869,Unbreakable
tt0183523,Mission to Mars
tt0448694,Puss in Boots
tt0138749,The Road to El Dorado
tt0350258,Ray
tt0118971,The Devil's Advocate
tt0123755,Cube
tt0181875,Almost Famous
tt0119698,Princess Mononoke
tt0087544,Nausicaä of the Valley of the Wind
tt0876563,Ponyo
tt0293564,Rush Hour 3
tt1877832,X-Men: Days of Future Past
tt0097216,Do the Right Thing
tt0117913,A Time to Kill
tt0790636,Dallas Buyers Club
tt1456635,Goon
tt0110912,Pulp Fiction
tt0442933,Beowulf
tt0074119,All the President's Men
tt0918927,Doubt
tt1126591,Burlesque
tt0203009,Moulin Rouge!
tt0103855,The Bodyguard
